Order,Seasonal order,Result
"(1, 0, 1)","(0, 0, 1, 12)",46259.191977026625
"(1, 0, 1)","(0, 0, 2, 12)",46247.18220389074
"(1, 0, 1)","(0, 1, 0, 12)",62026.340797109806
"(1, 0, 1)","(0, 1, 1, 12)",44091.49263551168
"(1, 0, 1)","(0, 1, 2, 12)",43975.73193492197
"(1, 0, 1)","(0, 2, 0, 12)",88703.13149037038
"(1, 0, 1)","(0, 2, 1, 12)",62066.80954916269
"(1, 0, 1)","(0, 2, 2, 12)",44224.36112233861
"(1, 0, 1)","(1, 0, 0, 12)",46260.06267022053
"(1, 0, 1)","(1, 0, 1, 12)",44112.173346045514
"(1, 0, 1)","(1, 0, 2, 12)",44005.16371856143
"(1, 0, 1)","(1, 1, 0, 12)",55154.10293062274
"(1, 0, 1)","(1, 1, 1, 12)",44015.86787765049
"(1, 0, 1)","(1, 1, 2, 12)",42818.01832509956
"(1, 0, 1)","(1, 2, 0, 12)",74542.74795873788
"(1, 0, 1)","(1, 2, 1, 12)",55229.22131552936
"(1, 0, 1)","(1, 2, 2, 12)",44797.42421370254
"(1, 0, 1)","(2, 0, 0, 12)",46250.135289437894
"(1, 0, 1)","(2, 0, 1, 12)",44019.60775492959
"(1, 0, 1)","(2, 0, 2, 12)",43243.3974967094
"(1, 0, 1)","(2, 1, 0, 12)",52250.963852687935
"(1, 0, 1)","(2, 1, 1, 12)",43872.83016212546
"(1, 0, 1)","(2, 1, 2, 12)",42820.040060669555
"(1, 0, 1)","(2, 2, 0, 12)",69797.10694052391
"(1, 0, 1)","(2, 2, 1, 12)",52329.36550927431
"(1, 0, 1)","(2, 2, 2, 12)",44058.372434703604
"(1, 0, 2)","(0, 0, 0, 12)",46254.32492637267
"(1, 0, 2)","(0, 0, 1, 12)",46241.81064798313
"(1, 0, 2)","(0, 0, 2, 12)",46229.84725116531
"(1, 0, 2)","(0, 1, 0, 12)",61918.94477395103
"(1, 0, 2)","(0, 1, 1, 12)",44083.22869875651
"(1, 0, 2)","(0, 1, 2, 12)",43972.91389563681
"(1, 0, 2)","(0, 2, 0, 12)",88533.83681871882
"(1, 0, 2)","(0, 2, 1, 12)",61958.201508110185
"(1, 0, 2)","(0, 2, 2, 12)",44249.589615838995
"(1, 0, 2)","(1, 0, 0, 12)",46243.58687489464
"(1, 0, 2)","(1, 0, 1, 12)",44103.59244227933
"(1, 0, 2)","(1, 0, 2, 12)",44002.507995391345
"(1, 0, 2)","(1, 1, 0, 12)",55136.48239835067
"(1, 0, 2)","(1, 1, 1, 12)",44011.89352855807
"(1, 0, 2)","(1, 1, 2, 12)",42812.999746190224
"(1, 0, 2)","(1, 2, 0, 12)",74523.80453317493
"(1, 0, 2)","(1, 2, 1, 12)",55209.07675467627
"(1, 0, 2)","(1, 2, 2, 12)",44313.115529588686
"(1, 0, 2)","(2, 0, 0, 12)",46233.460214729435
"(1, 0, 2)","(2, 0, 1, 12)",44017.219718111715
"(1, 0, 2)","(2, 0, 2, 12)",43641.97997950521
"(1, 0, 2)","(2, 1, 0, 12)",52206.37165637909
"(1, 0, 2)","(2, 1, 1, 12)",43868.47528002942
"(1, 0, 2)","(2, 1, 2, 12)",42831.17821876728
"(1, 0, 2)","(2, 2, 0, 12)",69741.2716582802
"(1, 0, 2)","(2, 2, 1, 12)",52284.757122400195
"(1, 0, 2)","(2, 2, 2, 12)",44084.883691461895
"(1, 1, 0)","(0, 0, 0, 12)",47626.20206632482
"(1, 1, 0)","(0, 0, 1, 12)",47604.5150559989
"(1, 1, 0)","(0, 0, 2, 12)",47580.890119954514
"(1, 1, 0)","(0, 1, 0, 12)",64958.46996115308
"(1, 1, 0)","(0, 1, 1, 12)",46740.348511004006
"(1, 1, 0)","(0, 1, 2, 12)",46592.79134276394
"(1, 1, 0)","(0, 2, 0, 12)",91647.902543926
"(1, 1, 0)","(0, 2, 1, 12)",64995.08530462128
"(1, 1, 0)","(0, 2, 2, 12)",46911.25445317172
"(1, 1, 0)","(1, 0, 0, 12)",47604.98466387558
"(1, 1, 0)","(1, 0, 1, 12)",47603.814510036565
"(1, 1, 0)","(1, 0, 2, 12)",47582.839125005084
"(1, 1, 0)","(1, 1, 0, 12)",58044.84735869908
"(1, 1, 0)","(1, 1, 1, 12)",46640.96858504979
"(1, 1, 0)","(1, 1, 2, 12)",45480.30935626675
"(1, 1, 0)","(1, 2, 0, 12)",77467.78654060375
"(1, 1, 0)","(1, 2, 1, 12)",58120.657566932394
"(1, 1, 0)","(1, 2, 2, 12)",46796.390927650806
"(1, 1, 0)","(2, 0, 0, 12)",47575.64093738112
"(1, 1, 0)","(2, 0, 1, 12)",47577.18345871022
"(1, 1, 0)","(2, 0, 2, 12)",45169.96804029932
"(1, 1, 0)","(2, 1, 0, 12)",55109.764829246946
"(1, 1, 0)","(2, 1, 1, 12)",46475.962782652496
"(1, 1, 0)","(2, 1, 2, 12)",45496.17810115297
"(1, 1, 0)","(2, 2, 0, 12)",72696.0448551919
"(1, 1, 0)","(2, 2, 1, 12)",55187.85955763547
"(1, 1, 0)","(2, 2, 2, 12)",46674.001649494676
"(1, 1, 1)","(0, 0, 0, 12)",47498.731111838206
"(1, 1, 1)","(0, 0, 1, 12)",47476.349573263644
"(1, 1, 1)","(0, 0, 2, 12)",47455.28111067547
"(1, 1, 1)","(0, 1, 0, 12)",64847.99848211549
"(1, 1, 1)","(0, 1, 1, 12)",46618.34255091007
"(1, 1, 1)","(0, 1, 2, 12)",46472.58800623326
"(1, 1, 1)","(0, 2, 0, 12)",91566.45656023762
"(1, 1, 1)","(0, 2, 1, 12)",64883.93536429975
"(1, 1, 1)","(0, 2, 2, 12)",47010.126453031364
"(1, 1, 1)","(1, 0, 0, 12)",47477.857446612295
"(1, 1, 1)","(1, 0, 1, 12)",47476.04324158458
"(1, 1, 1)","(1, 0, 2, 12)",47457.241972347634
"(1, 1, 1)","(1, 1, 0, 12)",57875.93947078902
"(1, 1, 1)","(1, 1, 1, 12)",46518.56305663741
"(1, 1, 1)","(1, 1, 2, 12)",45380.22224640842
"(1, 1, 1)","(1, 2, 0, 12)",77300.1630636036
"(1, 1, 1)","(1, 2, 1, 12)",57949.27541167406
"(1, 1, 1)","(1, 2, 2, 12)",46779.79669935806
"(1, 1, 1)","(2, 0, 0, 12)",47452.474409318915
"(1, 1, 1)","(2, 0, 1, 12)",47454.073648266625
"(1, 1, 1)","(2, 0, 2, 12)",45115.42311237827
"(1, 1, 1)","(2, 1, 0, 12)",54962.59514914393
"(1, 1, 1)","(2, 1, 1, 12)",46367.23965195481
"(1, 1, 1)","(2, 1, 2, 12)",45396.98320929159
"(1, 1, 1)","(2, 2, 0, 12)",72489.0302079936
"(1, 1, 1)","(2, 2, 1, 12)",55040.76060942649
"(1, 1, 1)","(2, 2, 2, 12)",46641.81721642375
"(1, 1, 2)","(0, 0, 0, 12)",44814.961207882996
"(1, 1, 2)","(0, 0, 1, 12)",44797.55548151099
"(1, 1, 2)","(0, 0, 2, 12)",44774.61316793725
"(1, 1, 2)","(0, 1, 0, 12)",62035.051709668114
"(1, 1, 2)","(0, 1, 1, 12)",44050.84955391491
"(1, 1, 2)","(0, 1, 2, 12)",43938.48106577563
"(1, 1, 2)","(0, 2, 0, 12)",88708.58493207826
"(1, 1, 2)","(0, 2, 1, 12)",62084.87753980188
"(1, 1, 2)","(0, 2, 2, 12)",44241.570895703
"(1, 1, 2)","(1, 0, 0, 12)",44800.100449795485
"(1, 1, 2)","(1, 0, 1, 12)",44797.09721938757
"(1, 1, 2)","(1, 0, 2, 12)",44776.54082774178
"(1, 1, 2)","(1, 1, 0, 12)",55164.51845277955
"(1, 1, 2)","(1, 1, 1, 12)",43978.897057737064
"(1, 1, 2)","(1, 1, 2, 12)",42765.40972607884
"(1, 1, 2)","(1, 2, 0, 12)",74550.77266636424
"(1, 1, 2)","(1, 2, 1, 12)",55248.72566328876
"(1, 1, 2)","(1, 2, 2, 12)",44198.2674438445
"(1, 1, 2)","(2, 0, 0, 12)",44773.37683793059
"(1, 1, 2)","(2, 0, 1, 12)",44774.84064589834
"(1, 1, 2)","(2, 0, 2, 12)",42357.944713179575
"(1, 1, 2)","(2, 1, 0, 12)",52261.482032838474
"(1, 1, 2)","(2, 1, 1, 12)",43839.691538756524
"(1, 1, 2)","(2, 1, 2, 12)",42771.41923250646
"(1, 1, 2)","(2, 2, 0, 12)",69805.80755180019
"(1, 1, 2)","(2, 2, 1, 12)",52351.692194253046
"(1, 1, 2)","(2, 2, 2, 12)",48191.93896315205
"(1, 2, 0)","(0, 0, 0, 12)",58531.950904111014
"(1, 2, 0)","(0, 0, 1, 12)",58511.224397329104
"(1, 2, 0)","(0, 0, 2, 12)",58422.43317803876
"(1, 2, 0)","(0, 1, 0, 12)",75664.4372591886
"(1, 2, 0)","(0, 1, 1, 12)",58073.57620076406
"(1, 2, 0)","(0, 1, 2, 12)",58003.028700208975
"(1, 2, 0)","(0, 2, 0, 12)",101973.02151015888
"(1, 2, 0)","(0, 2, 1, 12)",75688.4908074276
"(1, 2, 0)","(0, 2, 2, 12)",58209.56897217139
"(1, 2, 0)","(1, 0, 0, 12)",58511.62836266386
"(1, 2, 0)","(1, 0, 1, 12)",58502.84607739276
"(1, 2, 0)","(1, 0, 2, 12)",58424.177130442025
"(1, 2, 0)","(1, 1, 0, 12)",69446.60849993548
"(1, 2, 0)","(1, 1, 1, 12)",58047.01238846143
"(1, 2, 0)","(1, 1, 2, 12)",57404.42305851492
"(1, 2, 0)","(1, 2, 0, 12)",88885.86745081462
"(1, 2, 0)","(1, 2, 1, 12)",69516.73152151359
"(1, 2, 0)","(1, 2, 2, 12)",58186.914231934294
"(1, 2, 0)","(2, 0, 0, 12)",58392.33619527755
"(1, 2, 0)","(2, 0, 1, 12)",58393.3559961784
